Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-10-28,205.78174598930127,206.94110587822456,200.2623994179289,200.8371124267578,51195600,0.0,0
2020-10-29,202.214482515383,205.4745612430593,201.52083523200548,202.8585662841797,31432600,0.0,0
2020-10-30,201.64964642596763,202.43245658236845,197.8049210561879,200.62901306152344,36953700,0.0,0
2020-11-02,202.43246544066963,203.41346920672444,198.3003834103944,200.49029541015625,30842200,0.0,0
2020-11-03,202.03611086899775,206.22764497240047,201.27310793101051,204.55300903320312,27512000,0.0,0
2020-11-04,212.0740090998688,216.33491400652892,210.48855118853803,214.42245483398438,42311800,0.0,0
2020-11-05,220.02107035161842,222.08215953843097,219.13916337880386,221.25970458984375,36080100,0.0,0
2020-11-06,220.2390748075641,222.31998641000857,216.04754071011993,221.68580627441406,25231900,0.0,0
2020-11-09,222.39925914800233,226.04579112029407,215.89890902692784,216.40426635742188,44395000,0.0,0
2020-11-10,212.54962646301172,214.53144116196756,207.813090542111,209.0913543701172,44045100,0.0,0
2020-11-11,210.45883033662557,216.05745131821746,210.2705555040328,214.5810089111328,29440800,0.0,0
2020-11-12,215.2350047058095,217.1177227326522,212.51000933429935,213.48109436035156,21593900,0.0,0
2020-11-13,214.3927365076531,215.44309598554761,212.21274314145063,214.54136657714844,18621100,0.0,0
2020-11-16,212.91627958350782,215.76019425519442,212.56947104699333,215.25482177734375,24953300,0.0,0
2020-11-17,214.13509731294937,215.70071771484416,212.1334601114733,212.510009765625,24154100,0.0,0
2020-11-18,212.26163502655882,213.7717618757842,209.5593091530537,209.70834350585938,28372800,0.56,0
2020-11-19,210.00639198830103,211.64566371220653,208.56580241074641,211.0396270751953,24792700,0.0,0
2020-11-20,210.8210628437015,211.9039760847695,208.63536208238412,209.0228271484375,22843100,0.0,0
2020-11-23,209.57918196021092,210.91047060864688,206.80731886923556,208.74464416503906,25683500,0.0,0
2020-11-24,208.2280043869295,212.85772565202498,207.50275243687275,212.4702606201172,33979700,0.0,0
2020-11-25,213.71215694865367,213.8909799827619,211.07938343783815,212.48020935058594,21012900,0.0,0
2020-11-27,213.45383953780706,214.86461008789956,212.6490904522432,213.83135986328125,14512200,0.0,0
2020-11-30,212.70869787809374,213.36439741047502,209.469872971285,212.67889404296875,33064800,0.0,0
2020-12-01,213.11604292702796,215.90779542131918,211.96359248328423,214.8050079345703,30904500,0.0,0
2020-12-02,213.48365284738253,214.06981521948487,211.41716746608816,213.970458984375,23724500,0.0,0
2020-12-03,213.21539961437884,214.9739018612388,212.26163131584875,212.84780883789062,25120900,0.0,0
2020-12-04,212.82793612473898,213.98040173904698,211.79468586376183,212.96702575683594,24666000,0.0,0
2020-12-07,212.97694288829345,214.13933799433735,211.60592092609483,212.8974609375,24620000,0.0,0
2020-12-08,212.57955596495358,215.54018673059204,211.50657232997133,214.60629272460938,23284100,0.0,0
2020-12-09,213.7618265520705,213.8313637871316,209.83749792146986,210.4236602783203,32440600,0.0,0
2020-12-10,210.39385463681074,211.69533940970967,208.99301363223893,209.1519775390625,26733300,0.0,0
2020-12-11,208.6850138649799,211.93376833783228,207.751119936544,211.8741455078125,30979400,0.0,0
2020-12-14,211.71521692543263,214.80500779826332,211.49664534011603,212.8080596923828,28798400,0.0,0
2020-12-15,213.7717451628634,214.02012057182145,210.8607926464983,212.73851013183594,27000600,0.0,0
2020-12-16,213.35448022348754,218.6796496959864,213.32467638663434,217.85504150390625,35023300,0.0,0
2020-12-17,218.44121335690474,219.45458933295293,216.50388807889556,217.994140625,32515800,0.0,0
2020-12-18,217.16952514648438,218.26238304099414,214.61623375241314,217.16952514648438,63354900,0.0,0
2020-12-21,216.13629753855676,222.54438046189455,215.8680478352671,221.14353942871094,37181900,0.0,0
2020-12-22,221.2428946113025,224.1637920165291,220.4083568268471,222.48477172851562,22612200,0.0,0
2020-12-23,221.66017045999774,222.10724320429864,219.36518390090438,219.58375549316406,18699600,0.0,0
2020-12-24,219.98113123447072,222.1569022508683,219.76255966097486,221.302490234375,10550600,0.0,0
2020-12-28,222.99144288276963,224.56117731295342,221.57074279624754,223.49813842773438,17933500,0.0,0
2020-12-29,224.83935710557597,225.7036986942978,222.12710183226693,222.69338989257812,17403200,0.0,0
2020-12-30,223.7663593430461,224.16376907566317,220.03079881423304,220.2394256591797,20272300,0.0,0
2020-12-31,220.25931747653243,221.55087268103898,218.2524398559802,220.97463989257812,20942100,0.0,0
2021-01-04,221.08391968615567,221.55086667173214,213.41408577963725,216.27537536621094,37130100,0.0,0
2021-01-05,215.84818353780054,217.10000543795016,214.29832324202818,216.48402404785156,23823000,0.0,0
2021-01-06,210.7912455870297,215.08318003900655,210.5627444497056,210.8707275390625,35930700,0.0,0
2021-01-07,212.64909307655762,217.91465501643603,212.32125086238824,216.87147521972656,27694500,0.0,0
2021-01-08,217.2589465437568,219.14660888747295,215.6196747870337,218.19284057617188,22956200,0.0,0
2021-01-11,217.05030276976473,217.48744591341392,215.32160447250612,216.07667541503906,23031300,0.0,0
2021-01-12,215.09311485900687,215.68922193401653,211.93378677650057,213.53330993652344,23249300,0.0,0
2021-01-13,212.6292422193198,215.35142722816505,212.53981554325736,214.9341583251953,20087100,0.0,0
2021-01-14,214.50694610711955,216.04687670528494,211.35754767790286,211.63572692871094,29480800,0.0,0
2021-01-15,212.13248421668385,213.11604118355353,210.65216124723474,211.26812744140625,31746500,0.0,0
2021-01-19,212.36097125885433,215.56997724651347,211.24825429562105,215.0334930419922,30480900,0.0,0
2021-01-20,216.2853060269136,224.3227307316704,215.87796671237714,222.8821563720703,37777300,0.0,0
2021-01-21,223.2398222038329,224.82943093959156,220.97463960913782,223.50807189941406,30709400,0.0,0
2021-01-22,225.604351142039,228.57492646244208,224.33267027301773,224.481689453125,30172700,0.0,0
2021-01-25,227.63109756701655,228.28681230691677,222.7629454524098,228.03843688964844,33152100,0.0,0
2021-01-26,230.353304453711,232.65822051155325,228.58487264289738,230.82025146484375,49169600,0.0,0
2021-01-27,236.45340028594015,238.8775468152532,228.6444764600276,231.38653564453125,69870600,0.0,0
2021-01-28,234.07893214881244,241.06324776785397,233.56230702893146,237.37734985351562,49111200,0.0,0
2021-01-29,234.45646245897623,236.4732696182259,229.84661535788663,230.45265197753906,42503100,0.0,0
2021-02-01,233.53249764736228,240.9241524192933,230.91958343189754,238.09266662597656,33314200,0.0,0
2021-02-02,239.73195926657638,240.73539050946917,237.1389192661901,237.95358276367188,25916300,0.0,0
2021-02-03,238.0132101334961,243.49732861610576,237.70521187164377,241.42091369628906,27158100,0.0,0
2021-02-04,241.08313263021992,241.6593654508401,238.8080051867683,240.43734741210938,25296100,0.0,0
2021-02-05,240.65590246979397,241.69908224304154,238.8576668936292,240.6260986328125,18054800,0.0,0
2021-02-08,241.56993729669503,242.0964919958351,239.24514690883515,240.8943634033203,22211900,0.0,0
2021-02-09,240.29825076458306,243.1694700644667,239.8114446348893,242.1859130859375,23565000,0.0,0
2021-02-10,243.4079070336216,244.32192674291852,239.32461459903965,241.24208068847656,22186700,0.0,0
2021-02-11,243.18933867376802,243.5569294422543,240.57642441872454,242.90122985839844,15751100,0.0,0
2021-02-12,242.34485523140708,243.70596282867112,241.1526562586206,243.39797973632812,16561100,0.0,0
2021-02-16,243.43770727585607,244.53056515106869,241.34141819495338,242.11634826660156,26728500,0.0,0
2021-02-17,240.30402568241107,243.28142775544381,239.925620658595,243.17189025878906,21653500,0.56,0
2021-02-18,240.7819986812762,242.90302081680102,239.84595375261412,242.76361083984375,16925600,0.0,0
2021-02-19,242.72378478059755,242.8333222758702,239.16880759319722,239.9554901123047,25262600,0.0,0
2021-02-22,236.42042669936654,236.9282740578468,231.42155734850704,233.52267456054688,36446900,0.0,0
2021-02-23,229.36027823852524,233.84133256869634,227.76700839886772,232.28790283203125,30228700,0.0,0
2021-02-24,229.0416207746634,234.2097725915133,228.03587848370248,233.56251525878906,26339700,0.0,0
2021-02-25,231.10291169214167,233.6023387616198,226.92059733425288,228.0259246826172,39542200,0.0,0
2021-02-26,230.55522962893707,234.37905912025315,228.57360229831787,231.4016571044922,37819200,0.0,0
2021-03-01,234.90682911128965,236.4702265328918,232.16840691217965,235.9424591064453,25324000,0.0,0
2021-03-02,236.0121556135058,236.30094318964058,232.46714604742905,232.8853759765625,22812500,0.0,0
2021-03-03,231.18258352198725,232.59660333640392,226.30320396509254,226.60194396972656,34029500,0.0,0
2021-03-04,225.7854040247291,231.5111958642346,223.3158341695288,225.7754364013672,44727800,0.0,0
2021-03-05,228.55369422092375,232.2879062171515,225.50657966312951,230.62493896484375,41872800,0.0,0
2021-03-08,230.39590248007485,232.38748226433668,226.1737630619504,226.4326629638672,35267400,0.0,0
2021-03-09,231.89954107808842,234.3890156595878,230.694628695042,232.79574584960938,33080500,0.0,0
2021-03-10,236.00220202671017,236.00220202671017,231.06307752654172,231.4414825439453,29746800,0.0,0
2021-03-11,233.97079067319663,238.16305744765063,233.32351815166768,236.13165283203125,29907600,0.0,0
2021-03-12,233.02478170626296,234.82717413204392,232.2480668242347,234.75746154785156,22653700,0.0,0
2021-03-15,233.97078872632883,234.1998161362639,230.83404159705245,233.8214111328125,26034900,0.0,0
2021-03-16,235.28522586218403,239.0493103007335,234.94666095797632,236.70921325683594,28092200,0.0,0
2021-03-17,235.15577033379444,237.54567512440764,232.24806575391375,236.04202270507812,29562100,0.0,0
2021-03-18,231.58089169739986,233.20403406150197,229.36028452296623,229.74864196777344,34833000,0.0,0
2021-03-19,230.04738063841265,231.49127291487284,228.38441337440153,229.3802032470703,46430700,0.0,0
2021-03-22,229.30054061457176,235.9026172066179,229.17108306752553,234.9964599609375,30127000,0.0,0
2021-03-23,236.4901555023784,240.03516521540465,236.07192555590828,236.57977294921875,31638400,0.0,0
2021-03-24,236.84862614117546,236.99798854353094,234.32927899112946,234.46868896484375,25620100,0.0,0
2021-03-25,234.3093611281629,235.94245591887812,230.5950691409324,231.36181640625,34061900,0.0,0
2021-03-26,230.5751384261441,235.7134176012229,230.5751384261441,235.484375,25479900,0.0,0
2021-03-29,235.59392576123784,235.8030483231467,230.90376390156655,234.24961853027344,25227500,0.0,0
2021-03-30,232.5468057869862,232.86546583693482,230.1270437101973,230.87388610839844,24792000,0.0,0
2021-03-31,231.9294147242341,238.09335625016217,231.4115997542042,234.77737426757812,43623500,0.0,0
2021-04-01,237.46601183343927,241.81760870892933,237.0477819108232,241.32968139648438,30338000,0.0,0
2021-04-05,241.73794591307427,248.90764520810282,241.67820095137367,248.02139282226562,36910600,0.0,0
2021-04-06,246.56751982824775,248.34997693411202,245.84059750854803,246.81646728515625,22931900,0.0,0
2021-04-07,246.76668792767435,249.8735474934868,246.14930306383926,248.84788513183594,22719800,0.0,0
2021-04-08,251.70580198697797,253.07002920484922,250.9390395560834,252.18377685546875,23625200,0.0,0
2021-04-09,251.8053776768001,254.91225238019948,251.3771953292931,254.77284240722656,24326800,0.0,0
2021-04-12,253.63763580216744,256.58518040220036,253.54800316907554,254.83258056640625,27148700,0.0,0
2021-04-13,256.1769312139684,258.09879851622617,255.74871844150522,257.4017333984375,23837500,0.0,0
2021-04-14,256.39598873062266,257.74028075466265,254.08574892025175,254.51393127441406,23070900,0.0,0
2021-04-15,256.8440733172416,258.83565305291114,256.6449335771317,258.407470703125,25627500,0.0,0
2021-04-16,258.3776002297409,259.9011575237993,256.51547802468,259.6422424316406,24878600,0.0,0
